Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Max Ferdinand Perutz,Chemistry,M,1962,49,Austria,Europe,United Kingdom,Europe
John Cowdery Kendrew,Chemistry,M,1962,46,United Kingdom,Europe,United Kingdom,Europe
Lev Davidovich Landau,Physics,M,1962,55,Azerbaijan,Europe,Russia,Europe
Ligue des Socie in Physicsryy or Med,Peace,Org,1963,45,France,Europe,Switzerland,Europe
Comiterlandeace Prizeysicsryy or Medic,Peace,Org,1963,100,Switzerland,Europe,Switzerland,Europe
Giorgos Seferis,Literature,M,1963,64,Turkey,Asia,Greece,Europe
Sir John Carew Eccles,Physiology or Medicine,M,1963,61,Australia,Oceanian,Australia,Oceanian
Alan Lloyd Hodgkin,Physiology or Medicine,M,1963,50,United Kingdom,Europe,United Kingdom,Europe
Andrew Fielding Huxley,Physiology or Medicine,M,1963,47,United Kingdom,Europe,United Kingdom,Europe
Karl Ziegler,Chemistry,M,1963,66,Germany,Europe,Germany,Europe
Giulio Natta,Chemistry,M,1963,61,Italy,Europe,Italy,Europe
Maria Goeppert Mayer,Physics,F,1963,58,Poland,Europe,USA,North America
J. Hans D. Jensen,Physics,M,1963,57,Germany,Europe,Germany,Europe
Eugene Paul Wigner,Physics,M,1963,62,Hungary,Europe,USA,North America
Martin Luther King Jr.,Peace,M,1964,36,USA,North America,USA,North America
Jean-Paul Sartre,Literature,M,1964,60,France,Europe,France,Europe
Konrad Bloch,Physiology or Medicine,M,1964,53,Poland,Europe,USA,North America
Feodor Lynen,Physiology or Medicine,M,1964,54,Germany,Europe,Germany,Europe
Dorothy Crowfoot Hodgkin,Chemistry,F,1964,55,Egypt,Africa,United Kingdom,Europe
Charles Hard Townes,Physics,M,1964,50,USA,North America,USA,North America
Nicolay Gennadiyevich Basov,Physics,M,1964,43,Russia,Europe,Russia,Europe
Aleksandr Mikhailovich Prokhorov,Physics,M,1964,49,Australia,Oceanian,Russia,Europe
United Nations Childrenicskhor,Peace,Org,1965,20,USA,North America,USA,North America
Mikhail Aleksandrovich Sholokhov,Literature,M,1965,61,Russia,Europe,Russia,Europe
Franpebel Priz,Physiology or Medicine,M,1965,46,France,Europe,France,Europe
Andrpebel P,Physiology or Medicine,M,1965,64,France,Europe,France,Europe
Jacques Monod,Physiology or Medicine,M,1965,56,France,Europe,France,Europe
Robert Burns Woodward,Chemistry,M,1965,49,USA,North America,USA,North America
Sin-Itiro Tomonaga,Physics,M,1965,60,Japan,Asia,Japan,Asia
Julian Schwinger ,Physics,M,1965,48,USA,North America,USA,North America
Richard P. Feynman ,Physics,M,1965,48,USA,North America,USA,North America
Nelly Sachs,Literature,F,1966,76,Germany,Europe,Sweden,Europe
Shmuel Yosef Agnon,Literature,M,1966,79,Ukraine,Europe,Israel,Asia
Charles Brenton Huggins,Physiology or Medicine,M,1966,66,Canada,North America,USA,North America
Peyton Rous,Physiology or Medicine,M,1966,88,USA,North America,USA,North America
Robert S. Mulliken,Chemistry,M,1966,71,USA,North America,USA,North America
Alfred Kastler,Physics,M,1966,65,France,Europe,France,Europe
Miguel Angel Asturias,Literature,M,1967,69,Guatemala,North America,Guatemala,North America
Ragnar Granit,Physiology or Medicine,M,1967,68,Finland,Europe,Sweden,Europe
Haldan Keffer Hartline,Physiology or Medicine,M,1967,65,USA,North America,USA,North America
George Wald,Physiology or Medicine,M,1967,62,USA,North America,USA,North America
Manfred Eigen,Chemistry,M,1967,41,Germany,Europe,Germany,Europe
Ronald George Wreyford Norrish,Chemistry,M,1967,71,United Kingdom,Europe,United Kingdom,Europe
George Porter,Chemistry,M,1967,48,United Kingdom,Europe,United Kingdom,Europe
